Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,Unnamed: 28,Name-additional
Casey McGehee,28,us US,R,R,"6' 1""",220,10/12/82,4,155,140,155,148,0,0,5,0,147,0,0,0,0,0,1,9,0,-0.7,"$478,000 ",,mcgehca01
Sergio Mitre,30,us US,R,R,"6' 3""",225,2/16/81,8,22,0,21,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$900,000 ",,mitrese01
Nyjer Morgan,30,us US,L,L,"5' 10""",180,7/2/80,5,119,90,119,111,0,0,0,0,0,0,17,95,20,111,0,18,2,3.0,"$471,500 ",,morgany01
Chris Narveson,29,us US,L,L,"6' 3""",205,12/20/81,4,30,28,29,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$441,500 ",,narvech01
Wil Nieves,33,pr PR,R,R,"5' 11""",190,9/25/77,8,20,16,20,17,0,17,0,0,0,0,0,0,0,0,0,3,1,-0.6,"$775,000 ",,nievewi01
Jeremy Reed,30,us US,L,L,"6' 0""",195,6/15/81,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,"$550,000 ",,reedje03
Mike Rivera,34,pr PR,R,R,"6' 1""",220,9/8/76,9,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,,rivermi02
Francisco Rodríguez,29,ve VE,R,R,"6' 0""",195,1/7/82,10,31,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,rodrifr03
Takashi Saito,41,jp JP,L,R,"6' 2""",200,2/14/70,6,30,0,29,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0.8,"$1,750,000 ",,saitota01
Logan Schafer,24,us US,L,L,"6' 1""",200,9/8/86,1st,8,0,8,2,0,0,0,0,0,0,0,1,1,2,0,4,3,0.1,,,schaflo01
Mitch Stetter,30,us US,L,L,"6' 5""",215,1/16/81,5,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"$427,000 ",,stettmi01
Rickie Weeks,28,us US,R,R,"6' 0""",210,9/13/82,8,118,117,118,115,0,0,0,115,0,0,0,0,0,0,2,1,0,3.0,"$4,500,000 ",All-Star,weeksri01
Josh Wilson,30,us US,R,R,"6' 0""",175,3/26/81,5,54,15,54,31,0,0,1,10,13,8,3,0,0,3,0,26,5,0.1,"$725,000 ",,wilsojo03
Randy Wolf,34,us US,L,L,"6' 0""",205,8/22/76,13,33,33,31,33,33,0,0,0,0,0,0,0,0,0,0,0,0,2.5,"$9,500,000 ",,wolfra02
Brandon Allen,25,us US,L,R,"6' 2""",230,2/12/86,3,11,9,11,10,0,0,10,0,0,0,0,0,0,0,0,1,0,0.1,,,allenbr01
Henry Blanco,39,ve VE,R,R,"5' 11""",220,8/29/71,14,37,31,37,37,0,37,0,0,0,0,0,0,0,0,0,1,0,0.9,"$1,000,000 ",,blanche01
Willie Bloomquist,33,us US,R,R,"5' 11""",200,11/27/77,10,97,80,97,83,0,0,0,1,0,59,25,0,0,25,0,16,1,-0.2,"$900,000 ",,bloomwi01
Geoff Blum,38,us US,B,R,"6' 3""",220,4/26/73,13,23,12,23,14,0,0,0,0,14,0,0,0,0,0,0,11,0,0.2,"$1,350,000 ",,blumge01
Russell Branyan,35,us US,L,R,"6' 4""",235,12/19/75,14,31,12,31,14,0,0,14,0,0,0,0,0,0,0,0,17,0,-0.1,"$1,000,000 ",,branyru01
Yhency Brazobán,31,do DO,R,R,"6' 1""",250,6/11/80,6,6,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,brazoyh01
Sean Burroughs,30,us US,L,R,"6' 1""",195,9/12/80,6,78,14,78,20,0,0,0,0,20,0,0,0,0,0,0,60,0,-0.1,,,burrose01
Alberto Castillo,35,cu CU,L,L,"6' 2""",255,7/5/75,4,17,0,16,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,,castial02
Josh Collmenter,25,us US,R,R,"6' 3""",240,2/7/86,1st,31,24,29,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,,collmjo01
Ryan Cook,24,us US,R,R,"6' 1""",227,6/30/87,1st,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,cookry01
Collin Cowgill,25,us US,R,L,"5' 9""",190,5/22/86,1st,36,21,36,25,0,0,0,0,0,0,18,10,0,25,0,9,3,0.5,,,cowgico01
Sam Demel,25,us US,R,R,"6' 0""",210,10/23/85,2,34,0,33,34,34,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$417,000 ",,demelsa01
Stephen Drew,28,us US,L,R,"6' 0""",220,3/16/83,6,86,83,86,84,0,0,0,0,0,84,0,0,0,0,0,3,0,1.9,"$4,650,000 ",,drewst01
Zach Duke,28,us US,L,L,"6' 2""",210,4/19/83,7,21,9,20,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$3,500,000 ",,dukeza01
Barry Enright,25,us US,R,R,"6' 3""",220,3/30/86,2,8,7,8,7,7,0,0,0,0,0,0,0,0,0,0,1,0,-0.9,"$418,000 ",,enrigba01
Armando Galarraga,29,ve VE,R,R,"6' 3""",230,1/15/82,5,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,"$2,300,000 ",,galarar01
Cole Gillespie,27,us US,R,R,"6' 2""",215,6/20/84,2,5,0,5,4,0,0,0,0,0,0,2,0,2,4,0,1,1,0.1,,,gilleco01
Paul Goldschmidt,23,us US,R,R,"6' 3""",225,9/10/87,1st,48,41,48,43,0,0,43,0,0,0,0,0,0,0,0,6,0,0.4,,,goldspa01
J.C. Gutiérrez,27,ve VE,R,R,"6' 3""",245,7/14/83,4,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$430,500 ",,gutieju01
Robby Hammock,34,us US,R,R,"5' 10""",185,5/13/77,6,2,0,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,-0.1,,,hammoro01
Aaron Heilman,32,us US,R,R,"6' 5""",230,11/12/78,9,32,0,28,32,32,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,"$2,000,000 ",,heilmaa01
David Hernandez,26,us US,R,R,"6' 3""",245,5/13/85,3,74,0,69,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$423,500 ",,hernada01
Aaron Hill,29,us US,R,R,"5' 11""",200,3/21/82,7,33,32,33,33,0,0,0,33,0,0,0,0,0,0,0,1,0,1.6,,,hillaa01
Daniel Hudson,24,us US,R,R,"6' 3""",215,3/9/87,3,33,33,32,33,33,0,0,0,0,0,0,0,0,0,0,0,0,2.3,"$419,000 ",,hudsoda01
Kelly Johnson,29,us US,L,R,"6' 1""",200,2/22/82,6,114,106,114,108,0,0,0,108,0,0,0,0,0,0,0,8,0,0.7,"$5,850,000 ",,johnske05
Ian Kennedy,26,us US,R,R,"6' 0""",210,12/19/84,5,34,33,32,33,33,0,0,0,0,0,0,0,0,0,0,1,0,4.8,"$423,000 ",,kenneia01
Zach Kroenke,27,us US,R,L,"6' 2""",215,4/21/84,2,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,kroenza01
Jason Marquis,32,us US,L,R,"6' 1""",220,8/21/78,12,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,,,marquja01
John McDonald,36,us US,R,R,"5' 9""",185,9/24/74,13,19,15,19,18,0,0,0,0,0,18,0,0,0,0,0,1,0,0.2,,,mcdonjo03
Kam Mickolio,27,us US,R,R,"6' 9""",255,5/10/84,4,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$417,000 ",,mickoka01
Wade Miley,24,us US,L,L,"6' 1""",220,11/13/86,1st,8,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,mileywa01
Juan Miranda,28,cu CU,L,L,"6' 0""",220,4/25/83,4,65,46,65,46,0,0,46,0,0,0,0,0,0,0,0,19,0,-0.4,"$420,000 ",,miranju01
Miguel Montero,27,ve VE,L,R,"5' 11""",221,7/9/83,6,140,131,140,134,0,134,0,0,0,0,0,0,0,0,0,9,0,4.4,"$3,200,000 ",All-Star,montemi01
Melvin Mora,39,ve VE,R,R,"5' 11""",200,2/2/72,13,42,30,42,31,0,0,1,0,31,0,0,0,0,0,0,11,0,-1.1,"$2,350,000 ",,morame01
Xavier Nady,32,us US,R,R,"6' 2""",215,11/14/78,10,82,49,82,59,0,0,52,0,0,0,10,0,0,10,0,29,0,-0.3,"$1,750,000 ",,nadyxa01
Lyle Overbay,34,us US,L,L,"6' 2""",235,1/28/77,11,18,10,18,11,0,0,11,0,0,0,0,0,0,0,0,8,0,0.1,,,overbly01
Micah Owings,28,us US,R,R,"6' 5""",220,9/28/82,5,34,4,31,33,33,0,0,0,0,0,0,0,0,0,0,1,0,0.4,,,owingmi01
Jarrod Parker,22,us US,R,R,"6' 1""",195,11/24/88,1st,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,,parkeja02
Gerardo Parra,24,ve VE,L,L,"5' 11""",209,5/6/87,3,141,124,141,135,0,0,0,0,0,0,125,2,14,135,0,9,3,3.0,"$426,000 ",,parrage01
Joe Paterson,25,us US,R,L,"6' 0""",190,5/19/86,1st,62,0,61,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$414,000 ",,paterjo01
Wily Mo Peña,29,do DO,R,R,"6' 3""",260,1/23/82,8,17,10,17,1,0,0,0,0,0,0,1,0,0,1,9,7,0,0.0,,,penawi01
J.J. Putz,34,us US,R,R,"6' 5""",250,2/22/77,9,60,0,57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,1.7,"$4,000,000 ",,putzjj01
Cody Ransom,35,us US,R,R,"6' 2""",200,2/17/76,9,12,9,12,12,0,0,0,0,6,8,0,0,0,0,0,1,0,-0.2,,,ransoco01
Ryan Roberts,30,us US,R,R,"5' 11""",185,9/19/80,6,143,127,143,130,0,0,0,28,107,1,3,0,0,3,0,15,0,2.4,"$423,500 ",,roberry01
Joe Saunders,30,us US,L,L,"6' 3""",215,6/16/81,7,33,33,30,33,33,0,0,0,0,0,0,0,0,0,0,0,0,1.8,"$5,500,000 ",,saundjo01
Bryan Shaw,23,us US,B,R,"6' 1""",225,11/8/87,1st,33,0,31,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,,shawbr01
Justin Upton,23,us US,R,R,"6' 1""",215,8/25/87,5,159,156,159,159,0,0,0,0,0,0,0,0,159,159,0,2,0,5.5,"$4,458,333 ",All-Star,uptonju01
Esmerling Vásquez,27,do DO,R,R,"6' 1""",200,11/7/83,3,31,0,29,31,31,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,vasques01
Josh Wilson,30,us US,R,R,"6' 0""",175,3/26/81,5,6,2,6,3,0,0,0,0,0,3,0,0,0,0,0,2,1,0.1,,,wilsojo03
Chris Young,27,us US,R,R,"6' 2""",200,9/5/83,6,156,155,156,155,0,0,0,0,0,0,0,155,0,155,0,1,0,4.6,"$5,200,000 ",,youngch04
Brad Ziegler,31,us US,R,R,"6' 4""",220,10/10/79,4,23,0,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,zieglbr01
Bryan Augenstein,24,us US,R,R,"6' 6""",230,7/11/86,2,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$414,000 ",,augenbr01
Miguel Batista,40,do DO,R,R,"6' 1""",210,2/19/71,17,26,1,25,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$750,000 ",,batismi01
Lance Berkman,35,us US,B,L,"6' 1""",220,2/10/76,13,145,141,145,141,0,0,21,0,0,0,16,0,110,126,2,3,0,3.8,"$8,000,000 ",All-Star,berkmla01
Mitchell Boggs,27,us US,R,R,"6' 4""",235,2/15/84,4,51,0,50,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$431,000 ",,boggsmi01
Andrew Brown,26,us US,R,R,"6' 0""",200,9/10/84,1st,11,5,11,7,0,0,0,0,0,0,0,0,7,7,0,5,0,-0.2,,,brownan02
Chris Carpenter,36,us US,R,R,"6' 6""",230,4/27/75,14,34,34,32,34,34,0,0,0,0,0,0,0,0,0,0,0,0,3.5,"$14,259,403 ",,carpech01
Matt Carpenter,25,us US,L,R,"6' 4""",224,11/26/85,1st,7,4,7,5,0,0,0,0,5,0,0,0,0,0,0,2,0,-0.2,,,carpema01
Adron Chambers,24,us US,L,L,"5' 10""",200,10/8/86,1st,18,0,18,11,0,0,0,0,0,0,6,5,1,11,0,5,6,0.0,,,chambad01
Maikel Cleto,22,do DO,R,R,"6' 3""",250,5/1/89,1st,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,cletoma01
Allen Craig,26,us US,R,R,"6' 2""",215,7/18/84,2,75,47,75,56,0,0,2,8,2,0,26,5,18,48,0,23,0,2.4,"$414,000 ",,craigal01
Tony Cruz,24,us US,R,R,"5' 11""",215,8/18/86,1st,38,11,38,26,0,20,2,1,3,0,0,0,2,2,0,18,1,-0.1,,,cruzto03
Daniel Descalso,24,us US,L,R,"5' 10""",190,10/19/86,2,148,81,148,133,0,0,0,18,117,13,0,0,0,0,0,26,8,0.7,"$414,000 ",,descada01
Brandon Dickson,26,us US,R,R,"6' 5""",190,11/3/84,1st,4,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,dicksbr01
Octavio Dotel,37,do DO,R,R,"6' 0""",230,11/25/73,13,29,0,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,doteloc01
Ryan Franklin,38,us US,R,R,"6' 3""",190,3/5/73,12,21,0,19,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-1.7,"$3,250,000 ",,frankry01
David Freese,28,us US,R,R,"6' 2""",213,4/28/83,3,97,88,97,89,0,0,5,0,88,0,0,0,0,0,0,9,0,1.8,"$416,000 ",,freesda01
Rafael Furcal,33,do DO,B,R,"5' 8""",195,10/24/77,12,50,47,50,49,0,0,0,0,0,49,0,0,0,0,0,1,0,0.8,,,furcara02
Jaime García,24,mx MX,L,L,"6' 2""",215,7/8/86,3,32,32,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$437,000 ",,garcija02
Tyler Greene,27,us US,R,R,"6' 2""",200,8/17/83,3,58,24,58,48,0,0,0,25,0,20,2,0,8,10,0,13,9,0.3,"$415,500 ",,greenty02
Mark Hamilton,26,us US,L,L,"6' 4""",215,7/29/84,2,38,5,38,10,0,0,8,0,0,0,2,0,0,2,2,30,0,-0.1,,,hamilma01
Matt Holliday,31,us US,R,R,"6' 4""",240,1/15/80,8,124,119,124,115,0,0,0,0,0,0,115,0,0,115,5,5,0,3.8,"$16,317,774 ",All-Star,hollima01
Edwin Jackson,27,de DE,R,R,"6' 2""",215,9/9/83,9,13,12,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,,jacksed01
Jon Jay,26,us US,L,L,"5' 11""",200,3/15/85,2,159,107,159,140,0,0,0,0,0,0,19,75,56,140,0,29,2,2.8,"$416,000 ",,jayjo02
Pete Kozma,23,us US,R,R,"6' 0""",190,4/11/88,1st,16,3,16,14,0,0,0,10,1,3,0,0,0,0,0,5,2,0.0,,,kozmape01
Gerald Laird,31,us US,R,R,"6' 1""",230,11/13/79,9,37,22,37,32,0,31,1,0,0,0,0,0,0,0,1,7,1,-0.4,"$1,000,000 ",,lairdge01
Kyle Lohse,32,us US,R,R,"6' 2""",215,10/4/78,11,35,30,33,30,30,0,0,0,0,0,0,0,0,0,0,3,2,2.2,"$12,187,500 ",,lohseky01
Lance Lynn,24,us US,R,R,"6' 5""",280,5/12/87,1st,18,2,16,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,,lynnla01
Kyle McClellan,27,us US,R,R,"6' 2""",215,6/12/84,4,44,17,43,43,43,0,0,0,0,0,0,0,0,0,0,0,1,0.4,"$1,375,000 ",,mccleky01
Trever Miller,38,us US,R,L,"6' 3""",200,5/29/73,13,39,0,35,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$2,000,000 ",,milletr02
Yadier Molina,28,pr PR,R,R,"5' 11""",225,7/13/82,8,139,132,139,137,0,137,2,0,0,0,0,0,0,0,0,2,0,2.9,"$5,312,500 ",All-Star,molinya01
Jason Motte,29,us US,R,R,"6' 0""",205,6/22/82,4,78,0,74,78,78,0,0,0,0,0,0,0,0,0,0,0,0,1.3,"$435,000 ",,motteja01
Corey Patterson,31,us US,L,R,"5' 10""",180,8/13/79,12,44,6,44,30,0,0,0,0,0,0,5,10,16,30,0,20,2,-0.4,,,patteco01
Albert Pujols,31,do DO,R,R,"6' 3""",235,1/16/80,11,147,145,147,147,0,0,146,0,7,0,0,0,0,0,0,2,0,5.3,"$14,508,395 ",,pujolal01
Nick Punto,33,us US,B,R,"5' 9""",195,11/8/77,11,63,32,63,55,0,0,0,45,7,8,0,0,0,0,0,15,1,1.6,"$750,000 ",,puntoni01
Colby Rasmus,24,us US,L,L,"6' 2""",195,8/11/86,3,94,87,94,92,0,0,0,0,0,0,0,92,0,92,0,5,0,1.6,"$443,000 ",,rasmuco01
Arthur Rhodes,41,us US,L,L,"6' 2""",220,10/24/69,20,19,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,rhodear01
Shane Robinson,26,us US,R,R,"5' 9""",170,10/30/84,2,9,1,9,9,0,0,0,0,0,0,1,5,3,9,0,3,0,-0.2,,,robinsh01
Marc Rzepczynski,25,us US,L,L,"6' 2""",220,8/29/85,3,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,rzepcma01
Fernando Salas,26,mx MX,R,R,"6' 2""",200,5/30/85,2,68,0,63,68,68,0,0,0,0,0,0,0,0,0,0,0,0,2.4,,,salasfe01
Eduardo Sánchez,22,ve VE,R,R,"5' 11""",180,2/16/89,1st,26,0,25,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1.1,,,sanched01
Skip Schumaker,31,us US,L,R,"5' 10""",185,2/3/80,7,117,94,117,110,1,0,0,95,0,0,6,5,31,40,0,15,0,0.8,"$2,750,000 ",,schumsk01
Brian Tallet,33,us US,L,L,"6' 6""",220,9/21/77,9,18,0,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,"$750,000 ",,tallebr01
Ryan Theriot,31,us US,R,R,"5' 11""",185,12/7/79,7,132,104,132,125,0,0,0,35,0,91,0,0,0,0,0,15,0,0.3,"$3,300,000 ",,theriry01
Raúl Valdés,33,cu CU,L,L,"5' 11""",190,11/27/77,2,7,0,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,valdera02
P.J. Walters,26,us US,R,R,"6' 4""",215,3/12/85,3,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,waltepj01
Jake Westbrook,33,us US,R,R,"6' 3""",210,9/29/77,11,35,33,33,33,33,0,0,0,0,0,0,0,0,0,0,1,1,-0.2,"$8,000,000 ",,westbja01
Danys Báez,33,cu CU,R,R,"6' 3""",225,9/10/77,10,29,0,28,29,29,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$2,750,000 ",,baezda01
Antonio Bastardo,25,do DO,R,L,"5' 11""",202,9/21/85,3,64,0,62,64,64,0,0,0,0,0,0,0,0,0,0,0,0,1.7,"$419,000 ",,bastaan01
Joe Blanton,30,us US,R,R,"6' 3""",225,12/11/80,8,11,8,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$10,500,000 ",,blantjo01
John Bowker,27,us US,L,L,"6' 1""",205,7/8/83,4,12,1,12,2,0,0,1,0,0,0,0,0,1,1,0,10,0,-0.4,,,bowkejo01
Domonic Brown,23,us US,L,L,"6' 5""",225,9/3/87,2,56,49,56,52,0,0,0,0,0,0,0,0,52,52,0,5,1,-0.2,"$414,000 ",,browndo01
Drew Carpenter,26,us US,R,R,"6' 3""",240,5/18/85,4,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,carpean01
José Contreras,39,cu CU,R,R,"6' 4""",255,12/6/71,9,17,0,15,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$2,500,000 ",,contrjo01
Justin De Fratus,23,us US,B,R,"6' 4""",225,10/21/87,1st,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,defraju01
Ben Francisco,29,us US,R,R,"6' 1""",195,10/23/81,5,100,63,100,69,0,0,0,0,0,0,14,0,55,69,1,33,0,-0.8,"$1,175,000 ",,francbe01
Ross Gload,35,us US,L,L,"6' 1""",190,4/5/76,10,93,11,93,13,0,0,10,0,0,0,0,0,3,3,1,79,0,-0.3,"$1,600,000 ",,gloadro01
Roy Halladay HOF,34,us US,R,R,"6' 6""",225,5/14/77,14,32,32,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0,8.6,"$20,000,000 ",All-Star,hallaro01
Cole Hamels,27,us US,L,L,"6' 4""",205,12/27/83,6,33,31,32,32,32,0,0,0,0,0,0,0,0,0,0,1,0,6.4,"$9,500,000 ",All-Star,hamelco01
David Herndon,25,us US,R,R,"6' 5""",200,9/4/85,2,45,0,43,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$425,000 ",,herndda01
Ryan Howard,31,us US,L,L,"6' 4""",250,11/19/79,8,152,146,152,149,0,0,149,0,0,0,0,0,0,0,1,4,1,1.2,"$20,000,000 ",,howarry01
Raúl Ibañez,39,us US,L,R,"6' 2""",225,6/2/72,16,144,132,144,134,0,0,0,0,0,0,134,0,0,134,1,11,0,-1.7,"$12,166,666 ",,ibanera01
